Date_Time,Charge_Capacity(Ah),Voltage(V),Current(A)
06-06-2018 05:14,2.071099997,4.399981022,1.210514069
06-06-2018 05:16,2.110482216,4.400001049,1.152643204
06-06-2018 05:18,2.147937536,4.399989605,1.096025467
06-06-2018 05:20,2.18355298,4.399995327,1.040888786
06-06-2018 05:22,2.217332602,4.400051594,0.987549782
06-06-2018 05:24,2.249391556,4.399956226,0.935411453
06-06-2018 05:26,2.279762506,4.400041103,0.886881828
06-06-2018 05:28,2.308546305,4.400031567,0.840322495
06-06-2018 05:30,2.335828304,4.399935246,0.796660423
06-06-2018 05:32,2.361679554,4.400001049,0.754460335
06-06-2018 05:34,2.38614893,4.399992466,0.714202881
06-06-2018 05:36,2.40931344,4.399976254,0.676223755
06-06-2018 05:37,2.423728943,4.399936199,0.651988983
06-06-2018 05:39,2.42373085,4.276833057,0
06-06-2018 05:41,2.42373085,4.264626026,0
06-06-2018 05:42,2.42373085,4.261534214,0
06-06-2018 05:44,2.42373085,3.888979435,-2.282185555
06-06-2018 05:46,2.42373085,3.841277599,-2.282132149
06-06-2018 05:48,2.42373085,3.802443027,-2.281803131
06-06-2018 05:50,2.42373085,3.766272068,-2.282188416
06-06-2018 05:52,2.42373085,3.732210636,-2.281904221
06-06-2018 05:54,2.42373085,3.699541569,-2.282183647
06-06-2018 05:56,2.42373085,3.668120861,-2.282201767
06-06-2018 05:58,2.42373085,3.638244152,-2.281801224
06-06-2018 06:00,2.42373085,3.610729694,-2.282152176
06-06-2018 06:02,2.42373085,3.584880352,-2.282136917
06-06-2018 06:04,2.42373085,3.56072855,-2.282006264
06-06-2018 06:06,2.42373085,3.537317753,-2.28192997
06-06-2018 06:08,2.42373085,3.515296459,-2.282161713
06-06-2018 06:10,2.42373085,3.494364262,-2.282219887
06-06-2018 06:12,2.42373085,3.474648952,-2.282155037
06-06-2018 06:14,2.42373085,3.455919743,-2.28181839
06-06-2018 06:16,2.42373085,3.438186169,-2.282143593
06-06-2018 06:18,2.42373085,3.421186924,-2.282140732
06-06-2018 06:20,2.42373085,3.405027866,-2.282123566
06-06-2018 06:22,2.42373085,3.388665676,-2.282122612
06-06-2018 06:24,2.42373085,3.372647762,-2.282082558
06-06-2018 06:26,2.42373085,3.355994701,-2.282180786
06-06-2018 06:28,2.42373085,3.338553905,-2.282141685
06-06-2018 06:30,2.42373085,3.319705486,-2.282129288
06-06-2018 06:32,2.42373085,3.298392773,-2.282115936
06-06-2018 06:34,2.42373085,3.274581432,-2.282118797
06-06-2018 06:36,2.42373085,3.247788906,-2.28211689
06-06-2018 06:38,2.42373085,3.216063976,-2.282115936
06-06-2018 06:40,2.42373085,3.177518368,-2.282125473
06-06-2018 06:42,2.42373085,3.130292416,-2.282115936
06-06-2018 06:44,2.42373085,3.069995403,-2.281794548
