Date_Time,Voltage(V),Charge_Capacity(Ah)
05-17-2018 04:11:17.147,4.312702656,0.715019703
05-17-2018 04:13:17.148,4.340659618,0.823696554
05-17-2018 04:15:17.147,4.371129513,0.932316422
05-17-2018 04:17:17.145,4.400002956,1.040873766
05-17-2018 04:19:17.146,4.399982929,1.123316407
05-17-2018 04:21:17.144,4.399952412,1.208098054
05-17-2018 04:23:17.146,4.39998579,1.293835998
05-17-2018 04:25:17.145,4.399964809,1.373036861
05-17-2018 04:27:17.145,4.400008678,1.446550131
05-17-2018 04:29:17.146,4.399997234,1.515109897
05-17-2018 04:31:17.147,4.399952412,1.579247355
05-17-2018 04:33:17.145,4.400019169,1.639566898
05-17-2018 04:35:17.148,4.399976254,1.696316719
05-17-2018 04:37:17.145,4.400001049,1.749767184
05-17-2018 04:39:17.147,4.399999142,1.800188065
05-17-2018 04:41:17.146,4.400028706,1.847766042
05-17-2018 04:43:17.148,4.39995718,1.892740011
05-17-2018 04:45:17.149,4.400007725,1.935224414
05-17-2018 04:47:17.149,4.40000391,1.975340843
05-17-2018 04:49:17.149,4.400000095,2.013223171
05-17-2018 04:51:17.150,4.399968624,2.049012899
05-17-2018 04:53:17.147,4.399972439,2.082826376
05-17-2018 04:55:17.146,4.39999342,2.114788055
05-17-2018 04:57:17.147,4.399964809,2.145025969
05-17-2018 04:59:17.147,4.399996281,2.173626423
05-17-2018 05:01:17.149,4.399965763,2.200679302
05-17-2018 05:03:17.147,4.400042057,2.226247549
05-17-2018 05:05:17.146,4.400042057,2.250413418
05-17-2018 05:07:17.149,4.400023937,2.273241758
05-17-2018 05:07:51.338,4.40008688,2.279508591
05-17-2018 05:09:51.391,4.277648449,2.279511929
05-17-2018 05:11:51.389,4.265248775,2.279511929
05-17-2018 05:12:51.391,4.26204443,2.279511929
05-17-2018 05:14:51.483,3.767310619,2.279511929
05-17-2018 05:16:51.479,3.717220783,2.279511929
05-17-2018 05:18:51.484,3.672960758,2.279511929
05-17-2018 05:20:51.480,3.628891468,2.279511929
05-17-2018 05:22:51.481,3.586166859,2.279511929
05-17-2018 05:24:51.482,3.545933247,2.279511929
05-17-2018 05:26:51.482,3.509386539,2.279511929
05-17-2018 05:28:51.479,3.475316525,2.279511929
05-17-2018 05:30:51.482,3.443586826,2.279511929
05-17-2018 05:32:51.482,3.413243771,2.279511929
05-17-2018 05:34:51.483,3.385070324,2.279511929
05-17-2018 05:36:51.481,3.358286381,2.279511929
05-17-2018 05:38:51.478,3.332800388,2.279511929
